# Bill of Materials,,,,,,,,,,,
# Converted from {},,,,,,,,,,,
# Generated by bom_to_text.py,,,,,,,,,,,
#,,,,,,,,,,,
,,,,,,,,,,,
Qty,Value,Device,Package,Parts,Description,DESCRIPTION,DIGIKEY,MANUFACTURER,MOUSER,MPN,SPICEPREFIX
1,AB1815-T3,AB1815-T3,QFN-16-3MM,U1,Ultra-low current RTC. 55nA quiescent @ 3V. 1.5-3.6V input.,,535-11936-1-ND,Abracon,,AB1815-T3,
1,ABS07-32.768KHZ-7-T,ABS07-32.768KHZ-7-T,2-SMD,X1,32.768kHz Crystal,,535-9543-1-ND,ABRACON,,ABS07-32.768KHZ-7-T ,
1,BGA725L6-ALT,BGA725L6-ALT,LNA-TSLP-6-2-ALT,U2,,IC AMP MMIC RF LNA 20DB TSLP-6,BGA725L6E6327FTSA1CT-ND,Infineon,,BGA725L6E6327FTSA1,
1,BLUE,LED0603,LED-0603,D5,LED,LED BLUE CLEAR SMD,160-1837-6-ND ,Lite-On Inc.,,LTST-C194TBKT,
1,DM3AT-SF-PEJM5,DM3AT-SF-PEJM5,DM3AT-SF-PEJM5,J1,CONN MICRO SD R/A PUSH-PUSH SMD,CONN MICRO SD CARD PUSH-PUSH R/A,HR1964CT-ND,Hirose Electric Co Ltd,,DM3AT-SF-PEJM5,
1,DS2401P+,DS2401P+,21-0382,U3,A one wire serial number chip.,,DS2401P+-ND,Maxim Integrated,,DS2401P+,X
1,ELECTRON,ELECTRON,ELECTRON_SINGLE-ROW,ASSY1,,18 Position header,"S7051-ND,S7051-ND",Sullins,,PPPC181LFBN-RC,
1,GPS-ANTENNA,GPS-ANTENNA,ANT1818B00BT1516S,A1,,PATCH ANT GPS/GLO CP SMD,311-1531-ND,Yageo,,ANT1818B00BT1516S,
1,IRM-03-5V,IRM-03-5V,IRM-03,U5,A 5V 3W board mount power supply,,1866-3020-ND,Mean Well USA,,IRM-03-5,
1,LIS2DH12,LIS2DW12,LGA-12,U6,ultra low power 3 axis accelerometer,,497-14851-1-ND,STMicroelectronics,511-LIS2DH12TR,LIS2DH12TR,
1,MAX-M8,MAX-M8,MAX-M8,U7,,IC RECEIVER GPS/GNSS 18LCC,672-1003-1-ND,u-blox,,MAX-M8Q-0,
1,MAX67XXMAX6749MAX67XX,MAX67XXMAX6749MAX67XX,SOT-23-8,U8,A simple watchdog timer with adjustable timeouts and reset time,,MAX6749KA+TCT-ND,Maxim Integrated,,MAX6749KA+T,
2,OPA369,OPA369,SC70-5,"U9,U10",,,296-25252-1-ND,Texas Instruments,,OPA369AIDCKR,
1,S14K385,S14K385,S14K385,V1,VARISTOR,VARISTOR 620V 5KA DISC 14MM,495-5945-ND,EPCOS (TDK),,B72214S2381K101,
1,SAFFB1G56KB0F0A,FILTERS,QCS5I,U4,,FILTER SAW 1.582GHZ 5SMD,587-3990-1-ND,Taiyo Yuden,,F6QA1G582H2JM-J,
2,SCREW_TERMNIAL_1,SCREW_TERMNIAL_1,360272-TERMINAL-BLOCK,"J2,J3","A small, single terminal block",,1849-1246-ND,METZ CONNECT USA Inc.,,360272,
4,SIP32510,SIP32510,TSOT23-6,"U11,U12,U13,U14","Load switch, slew rate controlled. By Vishay",, SIP32510DT-T1-GE3CT-ND,Vishay,,SIP32510DT-T1-GE3,
1,WRL-13678,WRL-13678,WRL-13678,ASSY2,ESP8266 WiFi Module,,1568-1235-ND,,,,
